Record_ID,Date,Actual_Quantity,Counted_Quantity,Count_Accurate,Error_Type,Error_Amount,Error_Percentage,Count_Time_Seconds,Staff_ID,Staff_Experience_Years,Staff_Training,Staff_Role,Product_Type,Product_Subtype,Packaging,Location,Time_of_Day,Day_of_Week,End_of_Month,Scanner_Battery,Scanner_Model,Scanner_Calibrated,ERP_Status,WiFi_Strength,Count_Method,Inventory_Review_Type,Location_Type
REC0011,2023-06-19,320,320,True,None,0,0.0,349,3,4,Intermediate,Pharmacy Staff,Medical Device,Surgical,Blister Pack,Storage Room - Medical Devices,Morning,Thursday,False,Medium,Old Model,True,Normal,Normal,Manual Count,Regular Stock Check,Storage
REC0012,2023-07-09,40,40,True,None,0,0.0,23,17,3,Intermediate,Warehouse Team,Medical Device,Therapeutic,Individual,Storage Room - Medical Devices,Morning,Thursday,False,High,Current Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Storage
REC0013,2023-06-07,10010,10010,True,None,0,0.0,9644,19,5,Intermediate,Pharmacy Staff,Drug,Controlled,Bottle,Storage Room - Drugs,Afternoon,Monday,False,High,Current Model,True,Normal,Weak,Manual Count,Regular Stock Check,Storage
REC0014,2023-07-08,11396,11396,True,None,0,0.0,4277,7,3,Advanced,Pharmacy Staff,Drug,Prescription,Bottle,Shop Floor - Zone C,Afternoon,Wednesday,False,High,Old Model,True,Normal,Weak,Scanner Count,Quarterly Stock-take,Shop Floor
REC0015,2023-12-23,41,41,True,None,0,0.0,29,10,1,Intermediate,Warehouse Team,Miscellaneous,Baby Care,Individual,Shop Floor - Zone B,Afternoon,Saturday,False,High,Current Model,True,Normal,Strong,Combined Method,Quarterly Stock-take,Shop Floor
REC0016,2023-02-02,99,99,True,None,0,0.0,36,1,7,Intermediate,Pharmacy Staff,Miscellaneous,First Aid,Tube,Shop Floor - Zone B,Morning,Friday,False,Medium,Current Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Shop Floor
REC0017,2023-04-25,2120,2120,True,None,0,0.0,675,9,6,Advanced,Pharmacy Staff,Drug,OTC,Bottle,Storage Room - Drugs,Morning,Monday,True,High,New Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Storage
REC0018,2023-07-02,288,288,True,None,0,0.0,103,13,13,Basic,Team Leader,Drug,Controlled,Blister Pack,Warehouse - Shop Building Ground Floor,Afternoon,Wednesday,False,Medium,Current Model,True,Normal,Strong,Scanner Count,Regular Stock Check,Warehouse
REC0019,2023-05-24,860,860,True,None,0,0.0,316,5,14,Advanced,Pharmacy Staff,Medical Device,Diagnostic,Box,Shop Floor - Zone B,Morning,Friday,False,High,Old Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
REC0020,2023-09-10,25,25,True,None,0,0.0,14,6,9,Intermediate,Team Leader,Medical Device,Diagnostic,Individual,Shop Floor - Zone C,Evening,Friday,False,Low,Old Model,False,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor
REC0021,2023-10-02,864,864,True,None,0,0.0,319,12,6,Advanced,Warehouse Team,Drug,Controlled,Blister Pack,Shop Floor - Zone B,Afternoon,Wednesday,False,Low,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
REC0022,2023-04-27,24,24,True,None,0,0.0,19,6,9,Intermediate,Team Leader,Miscellaneous,Hygiene,Tube,Shop Floor - Zone A,Morning,Monday,True,High,New Model,True,Normal,Weak,Manual Count,Regular Stock Check,Shop Floor
REC0023,2023-05-24,17,17,True,None,0,0.0,17,11,2,Basic,Pharmacy Staff,Medical Device,Surgical,Individual,Shop Floor - Zone C,Morning,Tuesday,False,Medium,Current Model,True,Normal,Weak,Combined Method,Ad-hoc Check,Shop Floor
REC0024,2023-08-28,58,58,True,None,0,0.0,43,13,13,Basic,Team Leader,Miscellaneous,Hygiene,Tube,Shop Floor - Zone B,Morning,Thursday,True,High,New Model,False,Normal,Weak,Manual Count,Quarterly Stock-take,Shop Floor
REC0025,2023-11-11,83,83,True,None,0,0.0,44,17,3,Intermediate,Warehouse Team,Miscellaneous,Supplements,Individual,Shop Floor - Zone A,Morning,Monday,False,High,Current Model,False,Maintenance Mode,Normal,Scanner Count,Ad-hoc Check,Shop Floor
REC0026,2023-01-01,5,5,True,None,0,0.0,10,19,5,Intermediate,Pharmacy Staff,Medical Device,Surgical,Individual,Storage Room - Medical Devices,Afternoon,Wednesday,False,Medium,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage
REC0027,2023-09-12,10030,10030,True,None,0,0.0,13282,15,3,Basic,Pharmacy Staff,Drug,Prescription,Bottle,Storage Room - Drugs,Evening,Saturday,False,High,New Model,True,Normal,Normal,Manual Count,Quarterly Stock-take,Storage
REC0028,2023-05-18,1342,1147,False,Undercount,195,14.53055141579732,1460,17,3,Intermediate,Warehouse Team,Drug,Refrigerated,Blister Pack,Shop Floor - Zone A,Afternoon,Wednesday,False,Medium,Current Model,True,Normal,Normal,Manual Count,Regular Stock Check,Shop Floor
REC0029,2023-06-04,385,385,True,None,0,0.0,193,18,4,Intermediate,Pharmacy Staff,Drug,Controlled,Blister Pack,Shop Floor - Zone A,Afternoon,Monday,False,Low,Old Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
REC0030,2023-12-16,35,38,False,Overcount,3,8.571428571428571,21,11,2,Basic,Pharmacy Staff,Miscellaneous,Hygiene,Individual,Warehouse - Shop Building Ground Floor,Morning,Thursday,False,High,Current Model,False,Normal,Normal,Scanner Count,Quarterly Stock-take,Warehouse
REC0031,2023-10-01,565,565,True,None,0,0.0,211,6,9,Intermediate,Team Leader,Drug,Controlled,Blister Pack,Storage Room - Drugs,Afternoon,Thursday,False,High,Old Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage
REC0032,2023-09-21,812,836,False,Overcount,24,2.955665024630542,907,8,7,Intermediate,Pharmacy Staff,Drug,Controlled,Blister Pack,Shop Floor - Zone B,Afternoon,Thursday,False,Medium,Current Model,True,Slow,Weak,Manual Count,Regular Stock Check,Shop Floor
REC0033,2023-09-04,3071,3071,True,None,0,0.0,1315,3,4,Intermediate,Pharmacy Staff,Drug,Refrigerated,Bottle,Warehouse - Shop Building Ground Floor,Afternoon,Wednesday,False,High,Current Model,False,Normal,Weak,Scanner Count,Ad-hoc Check,Warehouse
REC0034,2023-04-28,196,196,True,None,0,0.0,240,4,4,Intermediate,Warehouse Team,Drug,Prescription,Box,Storage Room - Drugs,Morning,Thursday,True,Medium,Current Model,True,Normal,Normal,Manual Count,Regular Stock Check,Storage
REC0035,2023-05-10,9,10,False,Overcount,1,11.11111111111111,17,20,2,Basic,Pharmacy Staff,Medical Device,Diagnostic,Individual,Shop Floor - Zone A,Evening,Wednesday,False,High,Current Model,False,Slow,Strong,Manual Count,Quarterly Stock-take,Shop Floor
REC0036,2023-03-01,23,23,True,None,0,0.0,10,8,7,Intermediate,Pharmacy Staff,Miscellaneous,Hygiene,Individual,Shop Floor - Zone A,Morning,Monday,False,Medium,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0037,2023-03-04,4370,4370,True,None,0,0.0,3268,15,3,Basic,Pharmacy Staff,Drug,Prescription,Box,Shop Floor - Zone B,Afternoon,Monday,False,Medium,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0038,2023-06-06,2024,2024,True,None,0,0.0,742,6,9,Intermediate,Team Leader,Drug,Prescription,Blister Pack,Storage Room - Drugs,Afternoon,Tuesday,False,High,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Storage
REC0039,2023-11-20,6048,6048,True,None,0,0.0,1933,12,6,Advanced,Warehouse Team,Drug,Controlled,Bottle,Storage Room - Drugs,Afternoon,Tuesday,False,Medium,Old Model,False,Normal,Normal,Scanner Count,Ad-hoc Check,Storage
REC0040,2023-04-14,32,28,False,Undercount,4,12.5,25,11,2,Basic,Pharmacy Staff,Miscellaneous,Baby Care,Tube,Storage Room - Drugs,Morning,Friday,False,Medium,Current Model,True,Normal,Normal,Combined Method,Ad-hoc Check,Storage
REC0041,2023-11-09,11,11,True,None,0,0.0,10,1,7,Intermediate,Pharmacy Staff,Miscellaneous,First Aid,Individual,Shop Floor - Zone C,Evening,Monday,False,Medium,Current Model,True,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor
REC0042,2023-05-08,17,14,False,Undercount,3,17.647058823529413,16,11,2,Basic,Pharmacy Staff,Medical Device,Monitoring,Individual,Shop Floor - Zone A,Evening,Monday,False,Low,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0043,2023-02-18,1782,1782,True,None,0,0.0,1753,7,3,Advanced,Pharmacy Staff,Drug,Prescription,Blister Pack,Shop Floor - Zone C,Evening,Tuesday,False,High,Current Model,True,Slow,Normal,Manual Count,Quarterly Stock-take,Shop Floor
REC0044,2023-11-15,3,3,True,None,0,0.0,10,4,4,Intermediate,Warehouse Team,Medical Device,Diagnostic,Individual,Warehouse - Main Building 3rd Floor,Afternoon,Tuesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse
REC0045,2023-02-23,4543,4543,True,None,0,0.0,6936,15,3,Basic,Pharmacy Staff,Drug,Controlled,Bottle,Shop Floor - Zone B,Afternoon,Friday,False,High,Current Model,False,Maintenance Mode,Strong,Manual Count,Regular Stock Check,Shop Floor
REC0046,2023-03-26,540,540,True,None,0,0.0,402,19,5,Intermediate,Pharmacy Staff,Medical Device,Monitoring,Box,Storage Room - Medical Devices,Afternoon,Saturday,True,High,Current Model,False,Normal,Weak,Scanner Count,Regular Stock Check,Storage
REC0047,2023-12-08,559,559,True,None,0,0.0,304,12,6,Advanced,Warehouse Team,Medical Device,Therapeutic,Box,Warehouse - Main Building 3rd Floor,Evening,Friday,False,High,Old Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse
REC0048,2023-10-20,49,49,True,None,0,0.0,62,11,2,Basic,Pharmacy Staff,Miscellaneous,Baby Care,Individual,Shop Floor - Zone C,Afternoon,Monday,False,High,Current Model,False,Normal,Weak,Manual Count,Regular Stock Check,Shop Floor
REC0049,2023-06-22,5616,5616,True,None,0,0.0,7239,17,3,Intermediate,Warehouse Team,Drug,Refrigerated,Box,Shop Floor - Zone C,Afternoon,Monday,False,High,Old Model,True,Normal,Normal,Manual Count,Regular Stock Check,Shop Floor
REC0050,2023-06-01,532,532,True,None,0,0.0,118,5,14,Advanced,Pharmacy Staff,Drug,OTC,Blister Pack,Shop Floor - Zone B,Evening,Friday,False,High,New Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0051,2023-10-18,528,528,True,None,0,0.0,394,3,4,Intermediate,Pharmacy Staff,Medical Device,Surgical,Box,Shop Floor - Zone B,Afternoon,Monday,False,Medium,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0052,2023-07-17,126,108,False,Undercount,18,14.285714285714285,142,8,7,Intermediate,Pharmacy Staff,Medical Device,Diagnostic,Box,Storage Room - Medical Devices,Morning,Saturday,False,Low,Current Model,False,Normal,Normal,Combined Method,Regular Stock Check,Storage
REC0053,2023-04-13,725,725,True,None,0,0.0,368,17,3,Intermediate,Warehouse Team,Drug,Refrigerated,Blister Pack,Shop Floor - Zone A,Afternoon,Saturday,False,High,Current Model,True,Normal,Strong,Scanner Count,Quarterly Stock-take,Shop Floor
REC0054,2023-11-07,65,65,True,None,0,0.0,27,3,4,Intermediate,Pharmacy Staff,Miscellaneous,Supplements,Individual,Shop Floor - Zone A,Afternoon,Saturday,False,High,New Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
REC0055,2023-12-25,864,825,False,Undercount,39,4.513888888888888,1405,20,2,Basic,Pharmacy Staff,Drug,OTC,Blister Pack,Shop Floor - Zone C,Afternoon,Saturday,True,High,Current Model,True,Slow,Weak,Manual Count,Regular Stock Check,Shop Floor
REC0056,2023-10-29,12,12,True,None,0,0.0,16,11,2,Basic,Pharmacy Staff,Miscellaneous,Supplements,Individual,Warehouse - Shop Building Ground Floor,Evening,Wednesday,True,High,Current Model,False,Normal,Weak,Manual Count,Regular Stock Check,Warehouse
REC0057,2023-08-03,72,75,False,Overcount,3,4.166666666666666,32,17,3,Intermediate,Warehouse Team,Drug,Refrigerated,Tube,Shop Floor - Zone A,Afternoon,Thursday,False,High,New Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0058,2023-01-29,1056,1056,True,None,0,0.0,606,9,6,Advanced,Pharmacy Staff,Medical Device,Therapeutic,Box,Warehouse - Main Building 3rd Floor,Morning,Thursday,True,Low,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse
REC0059,2023-10-28,8036,8036,True,None,0,0.0,4432,19,5,Intermediate,Pharmacy Staff,Miscellaneous,Baby Care,Bottle,Shop Floor - Zone C,Morning,Tuesday,True,High,Current Model,True,Slow,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
REC0060,2023-01-07,792,792,True,None,0,0.0,263,5,14,Advanced,Pharmacy Staff,Miscellaneous,Supplements,Box,Warehouse - Shop Building Ground Floor,Afternoon,Monday,False,Medium,Current Model,True,Slow,Normal,Scanner Count,Regular Stock Check,Warehouse
REC0061,2023-07-07,784,784,True,None,0,0.0,278,13,13,Basic,Team Leader,Drug,OTC,Blister Pack,Shop Floor - Zone A,Morning,Sunday,False,Medium,Current Model,False,Normal,Strong,Scanner Count,Regular Stock Check,Shop Floor
REC0062,2023-01-22,2625,2625,True,None,0,0.0,1099,18,4,Intermediate,Pharmacy Staff,Miscellaneous,Baby Care,Bottle,Shop Floor - Zone B,Evening,Monday,False,High,Old Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
REC0063,2023-02-08,1337,1338,False,Overcount,1,0.07479431563201197,1044,15,3,Basic,Pharmacy Staff,Drug,Prescription,Blister Pack,Warehouse - Shop Building Ground Floor,Evening,Friday,False,High,Current Model,False,Normal,Normal,Combined Method,Regular Stock Check,Warehouse
REC0064,2023-01-15,84,84,True,None,0,0.0,77,2,4,Intermediate,Pharmacy Staff,Medical Device,Surgical,Box,Warehouse - Main Building 3rd Floor,Afternoon,Saturday,False,High,New Model,True,Slow,Normal,Scanner Count,Quarterly Stock-take,Warehouse
REC0065,2023-02-15,3800,3800,True,None,0,0.0,2146,15,3,Basic,Pharmacy Staff,Drug,OTC,Bottle,Storage Room - Drugs,Morning,Tuesday,False,High,Old Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage
REC0066,2023-04-05,840,838,False,Undercount,2,0.2380952380952381,582,6,9,Intermediate,Team Leader,Medical Device,Diagnostic,Box,Warehouse - Main Building 3rd Floor,Morning,Monday,False,High,Old Model,True,Maintenance Mode,Weak,Scanner Count,Quarterly Stock-take,Warehouse
REC0067,2023-08-21,6,6,True,None,0,0.0,10,13,13,Basic,Team Leader,Medical Device,Diagnostic,Individual,Shop Floor - Zone C,Afternoon,Sunday,False,Medium,Current Model,False,Normal,Normal,Combined Method,Regular Stock Check,Shop Floor
REC0068,2023-02-10,2967,2430,False,Undercount,537,18.099089989888775,1450,18,4,Intermediate,Pharmacy Staff,Miscellaneous,Baby Care,Bottle,Warehouse - Shop Building Ground Floor,Afternoon,Thursday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse
REC0069,2023-05-02,5312,5312,True,None,0,0.0,3123,19,5,Intermediate,Pharmacy Staff,Miscellaneous,Baby Care,Bottle,Warehouse - Shop Building Ground Floor,Morning,Friday,False,High,Current Model,False,Normal,Strong,Combined Method,Quarterly Stock-take,Warehouse
REC0070,2023-11-28,1800,1800,True,None,0,0.0,1268,17,3,Intermediate,Warehouse Team,Miscellaneous,First Aid,Box,Warehouse - Shop Building Ground Floor,Morning,Tuesday,True,Medium,New Model,True,Slow,Normal,Scanner Count,Quarterly Stock-take,Warehouse
REC0071,2023-07-05,4095,4095,True,None,0,0.0,1401,12,6,Advanced,Warehouse Team,Drug,OTC,Bottle,Storage Room - Drugs,Evening,Friday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage
REC0072,2023-08-19,5246,5113,False,Undercount,133,2.535264963781929,7533,20,2,Basic,Pharmacy Staff,Drug,OTC,Bottle,Shop Floor - Zone B,Afternoon,Saturday,False,Low,Current Model,True,Normal,Normal,Manual Count,Quarterly Stock-take,Shop Floor
REC0073,2023-06-20,1351,1331,False,Undercount,20,1.4803849000740192,496,12,6,Advanced,Warehouse Team,Drug,Refrigerated,Blister Pack,Shop Floor - Zone B,Evening,Friday,False,High,Current Model,False,Slow,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0074,2023-01-01,1880,1880,True,None,0,0.0,861,3,4,Intermediate,Pharmacy Staff,Drug,Prescription,Blister Pack,Shop Floor - Zone A,Evening,Monday,False,Medium,New Model,False,Normal,Strong,Scanner Count,Quarterly Stock-take,Shop Floor
REC0075,2023-05-31,43,43,True,None,0,0.0,23,13,13,Basic,Team Leader,Medical Device,Therapeutic,Individual,Storage Room - Medical Devices,Afternoon,Monday,True,High,Old Model,True,Maintenance Mode,Weak,Scanner Count,Ad-hoc Check,Storage
REC0076,2023-05-16,268,268,True,None,0,0.0,342,15,3,Basic,Pharmacy Staff,Drug,Refrigerated,Blister Pack,Storage Room - Drugs,Morning,Thursday,False,High,Current Model,True,Normal,Normal,Manual Count,Quarterly Stock-take,Storage
REC0077,2023-09-02,238,238,True,None,0,0.0,135,13,13,Basic,Team Leader,Medical Device,Monitoring,Box,Storage Room - Medical Devices,Afternoon,Saturday,False,High,New Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Storage
REC0078,2023-05-23,4940,4928,False,Undercount,12,0.24291497975708504,2411,19,5,Intermediate,Pharmacy Staff,Drug,Prescription,Bottle,Storage Room - Drugs,Evening,Tuesday,False,Low,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Storage
REC0079,2023-10-31,720,720,True,None,0,0.0,537,5,14,Advanced,Pharmacy Staff,Medical Device,Surgical,Box,Warehouse - Main Building 3rd Floor,Afternoon,Friday,True,High,Current Model,False,Normal,Normal,Manual Count,Ad-hoc Check,Warehouse
REC0080,2023-10-02,30,30,True,None,0,0.0,22,2,4,Intermediate,Pharmacy Staff,Medical Device,Surgical,Individual,Shop Floor - Zone B,Evening,Saturday,False,High,Current Model,True,Normal,Normal,Combined Method,Quarterly Stock-take,Shop Floor
REC0081,2023-06-08,315,315,True,None,0,0.0,219,7,3,Advanced,Pharmacy Staff,Medical Device,Diagnostic,Box,Shop Floor - Zone B,Afternoon,Friday,False,High,Old Model,True,Maintenance Mode,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
REC0082,2023-05-05,2552,2552,True,None,0,0.0,1696,10,1,Intermediate,Warehouse Team,Miscellaneous,Baby Care,Box,Shop Floor - Zone A,Afternoon,Friday,False,High,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0083,2023-05-30,8772,8470,False,Undercount,302,3.4427724578203374,3534,16,5,Intermediate,Pharmacy Staff,Drug,Controlled,Bottle,Storage Room - Drugs,Afternoon,Tuesday,True,High,Old Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage
REC0084,2023-08-06,324,324,True,None,0,0.0,158,6,9,Intermediate,Team Leader,Drug,Controlled,Box,Shop Floor - Zone B,Morning,Saturday,False,Medium,Current Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Shop Floor
REC0085,2023-03-08,204,204,True,None,0,0.0,96,12,6,Advanced,Warehouse Team,Drug,Controlled,Blister Pack,Shop Floor - Zone A,Afternoon,Wednesday,False,High,Current Model,True,Normal,Weak,Combined Method,Quarterly Stock-take,Shop Floor
REC0086,2023-02-24,186,186,True,None,0,0.0,141,16,5,Intermediate,Pharmacy Staff,Medical Device,Surgical,Box,Warehouse - Main Building 3rd Floor,Afternoon,Tuesday,False,Medium,Old Model,False,Slow,Normal,Scanner Count,Regular Stock Check,Warehouse
REC0087,2023-09-29,531,531,True,None,0,0.0,196,12,6,Advanced,Warehouse Team,Drug,OTC,Blister Pack,Shop Floor - Zone A,Evening,Tuesday,True,Medium,Old Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0088,2023-04-11,2,3,False,Overcount,1,50.0,10,20,2,Basic,Pharmacy Staff,Medical Device,Monitoring,Individual,Storage Room - Medical Devices,Morning,Wednesday,False,High,Current Model,False,Normal,Normal,Manual Count,Regular Stock Check,Storage
REC0089,2023-09-23,34,34,True,None,0,0.0,17,2,4,Intermediate,Pharmacy Staff,Medical Device,Therapeutic,Individual,Storage Room - Medical Devices,Morning,Thursday,False,High,Old Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Storage
REC0090,2023-01-12,800,800,True,None,0,0.0,905,13,13,Basic,Team Leader,Miscellaneous,Baby Care,Box,Shop Floor - Zone A,Afternoon,Monday,False,Low,Current Model,True,Normal,Normal,Manual Count,Regular Stock Check,Shop Floor
REC0091,2023-04-09,536,536,True,None,0,0.0,169,9,6,Advanced,Pharmacy Staff,Drug,OTC,Blister Pack,Storage Room - Drugs,Morning,Thursday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage
REC0092,2023-01-07,780,641,False,Undercount,139,17.82051282051282,658,14,4,Basic,Pharmacy Staff,Medical Device,Diagnostic,Box,Shop Floor - Zone A,Afternoon,Monday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor
REC0093,2023-11-04,979,979,True,None,0,0.0,484,4,4,Intermediate,Warehouse Team,Miscellaneous,Baby Care,Bottle,Shop Floor - Zone B,Morning,Thursday,False,High,Current Model,False,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor
REC0094,2023-08-20,910,777,False,Undercount,133,14.615384615384617,1792,11,2,Basic,Pharmacy Staff,Drug,Refrigerated,Box,Storage Room - Drugs,Evening,Saturday,False,High,Current Model,True,Maintenance Mode,Normal,Manual Count,Regular Stock Check,Storage
REC0095,2023-08-20,918,882,False,Undercount,36,3.9215686274509802,1319,14,4,Basic,Pharmacy Staff,Miscellaneous,Baby Care,Bottle,Shop Floor - Zone C,Evening,Monday,False,Low,Current Model,False,Normal,Weak,Manual Count,Ad-hoc Check,Shop Floor
REC0096,2023-03-19,585,585,True,None,0,0.0,186,9,6,Advanced,Pharmacy Staff,Drug,OTC,Bottle,Warehouse - Shop Building Ground Floor,Afternoon,Friday,False,Medium,New Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Warehouse
REC0097,2023-06-02,64,64,True,None,0,0.0,29,8,7,Intermediate,Pharmacy Staff,Drug,Refrigerated,Blister Pack,Shop Floor - Zone A,Afternoon,Saturday,False,High,Current Model,True,Maintenance Mode,Normal,Scanner Count,Quarterly Stock-take,Shop Floor
REC0098,2023-05-06,2160,1882,False,Undercount,278,12.87037037037037,1140,8,7,Intermediate,Pharmacy Staff,Drug,OTC,Box,Storage Room - Drugs,Evening,Tuesday,False,High,Current Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Storage
REC0099,2023-07-08,1379,1379,True,None,0,0.0,1261,1,7,Intermediate,Pharmacy Staff,Drug,Controlled,Blister Pack,Shop Floor - Zone A,Afternoon,Saturday,False,High,Current Model,True,Normal,Weak,Manual Count,Quarterly Stock-take,Shop Floor
REC0100,2023-01-10,3555,3555,True,None,0,0.0,3578,14,4,Basic,Pharmacy Staff,Drug,Controlled,Bottle,Shop Floor - Zone B,Morning,Thursday,False,Low,Current Model,True,Normal,Normal,Combined Method,Regular Stock Check,Shop Floor
REC0101,2023-04-11,336,336,True,None,0,0.0,389,4,4,Intermediate,Warehouse Team,Drug,Refrigerated,Box,Warehouse - Shop Building Ground Floor,Evening,Monday,False,High,Old Model,True,Normal,Weak,Manual Count,Regular Stock Check,Warehouse
REC0102,2023-12-02,15159,15159,True,None,0,0.0,8240,20,2,Basic,Pharmacy Staff,Drug,OTC,Bottle,Storage Room - Drugs,Evening,Tuesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Storage
REC0103,2023-04-23,14,14,True,None,0,0.0,16,1,7,Intermediate,Pharmacy Staff,Medical Device,Surgical,Individual,Warehouse - Main Building 3rd Floor,Evening,Sunday,False,High,Current Model,True,Normal,Normal,Manual Count,Regular Stock Check,Warehouse
REC0104,2023-11-21,1067,1067,True,None,0,0.0,747,20,2,Basic,Pharmacy Staff,Drug,OTC,Blister Pack,Storage Room - Drugs,Afternoon,Friday,False,Medium,Current Model,True,Slow,Weak,Scanner Count,Quarterly Stock-take,Storage
