Record_ID,Date,Actual_Quantity,Counted_Quantity,Count_Accurate,Error_Type,Error_Amount,Error_Percentage,Count_Time_Seconds,Staff_ID,Staff_Experience_Years,Staff_Training,Staff_Role,Product_Type,Product_Subtype,Packaging,Location,Time_of_Day,Day_of_Week,End_of_Month,Scanner_Battery,Scanner_Model,Scanner_Calibrated,ERP_Status,WiFi_Strength,Count_Method,Inventory_Review_Type,Location_Type,Product_ID,Special_Cause
REC0018,2023-02-21,71,71,True,None,0,0.0,89.0,17,2,Basic,Pharmacy Staff,Drug,Refrigerated,Tube,Shop Floor - Zone A,Afternoon,Saturday,False,Medium,Current Model,True,Normal,Strong,Manual Count,Quarterly Stock-take,Shop Floor,P0018,None
REC0019,2023-10-25,1196,1277,False,Overcount,81,6.77257525083612,1213.0,12,4,Intermediate,Warehouse Team,Drug,Controlled,Bottle,Shop Floor - Zone A,Morning,Tuesday,True,Medium,Current Model,True,Normal,Weak,Manual Count,Regular Stock Check,Shop Floor,P0019,None
REC0020,2023-11-11,2180,2180,True,None,0,0.0,1913.0,1,4,Basic,Pharmacy Staff,Drug,OTC,Box,Warehouse - Shop Building Ground Floor,Evening,Tuesday,False,High,Current Model,False,Slow,Normal,Scanner Count,Regular Stock Check,Warehouse,P0020,None
REC0021,2023-05-08,81,67,False,Undercount,14,17.28395061728395,78.0,8,3,Intermediate,Pharmacy Staff,Miscellaneous,First Aid,Individual,Shop Floor - Zone B,Evening,Monday,False,High,Old Model,True,Normal,Weak,Manual Count,Regular Stock Check,Shop Floor,P0021,None
REC0022,2023-05-12,1584,1584,True,None,0,0.0,1531.0,7,4,Intermediate,Pharmacy Staff,Drug,OTC,Blister Pack,Warehouse - Shop Building Ground Floor,Afternoon,Wednesday,False,High,Current Model,False,Normal,Normal,Manual Count,Regular Stock Check,Warehouse,P0022,None
REC0023,2023-05-22,695,695,True,None,0,0.0,853.0,14,5,Basic,Pharmacy Staff,Drug,OTC,Blister Pack,Shop Floor - Zone A,Morning,Saturday,False,High,Current Model,False,Normal,Strong,Manual Count,Regular Stock Check,Shop Floor,P0023,None
REC0024,2023-02-14,1148,1148,True,None,0,0.0,2247.699097238122,101,0,Basic,Pharmacy Staff,Drug,Prescription,Box,Storage Room - Drugs,Morning,Sunday,False,High,New Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Storage,P0024,New Employee Training
REC0025,2023-07-31,810,810,True,None,0,0.0,381.0,12,4,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Storage Room - Drugs,Afternoon,Tuesday,True,High,Old Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage,P0025,None
REC0026,2023-10-21,38,40,False,Overcount,2,5.263157894736842,18.0,18,6,Intermediate,Pharmacy Staff,Drug,OTC,Blister Pack,Storage Room - Medical Devices,Afternoon,Tuesday,False,High,Old Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Storage,SP004,Similar Packaging Confusion
REC0027,2023-10-19,8496,8496,True,None,0,0.0,5528.0,2,4,Intermediate,Pharmacy Staff,Drug,Controlled,Box,Storage Room - Drugs,Evening,Wednesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage,P0027,None
REC0028,2023-08-26,17472,17472,True,None,0,0.0,11368.0,6,10,Advanced,Pharmacy Staff,Drug,OTC,Bottle,Shop Floor - Zone A,Evening,Wednesday,True,High,Current Model,True,Normal,Weak,Manual Count,Regular Stock Check,Shop Floor,P0028,None
REC0029,2023-07-27,2025,2025,True,None,0,0.0,1693.0,16,7,Intermediate,Pharmacy Staff,Drug,Controlled,Box,Warehouse - Shop Building Ground Floor,Afternoon,Saturday,True,Low,Current Model,True,Normal,Normal,Combined Method,Regular Stock Check,Warehouse,P0029,None
REC0030,2023-03-07,1225,1225,True,None,0,0.0,630.0,10,6,Advanced,Warehouse Team,Drug,Controlled,Box,Storage Room - Drugs,Afternoon,Thursday,False,Medium,Current Model,True,Slow,Normal,Scanner Count,Quarterly Stock-take,Storage,P0030,None
REC0031,2023-05-22,740,791,False,Overcount,51,6.891891891891892,197.0,11,15,Advanced,Pharmacy Staff,Drug,OTC,Blister Pack,Shop Floor - Zone C,Evening,Monday,False,High,Current Model,True,Normal,Strong,Scanner Count,Quarterly Stock-take,Shop Floor,SP003,Similar Packaging Confusion
REC0032,2023-05-04,384,384,True,None,0,0.0,338.0,4,10,Basic,Warehouse Team,Drug,Prescription,Blister Pack,Warehouse - Shop Building Ground Floor,Evening,Monday,False,Medium,Old Model,False,Normal,Normal,Manual Count,Regular Stock Check,Warehouse,P0032,None
REC0033,2023-04-16,648,743,False,Overcount,95,14.660493827160495,524.0,2,4,Intermediate,Pharmacy Staff,Drug,OTC,Blister Pack,Shop Floor - Zone A,Morning,Tuesday,False,Low,Current Model,True,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor,SP003,Similar Packaging Confusion
REC0034,2023-05-03,49,54,False,Overcount,5,10.204081632653061,37.0,16,7,Intermediate,Pharmacy Staff,Miscellaneous,Hygiene,Individual,Shop Floor - Zone A,Evening,Tuesday,False,High,Old Model,True,Slow,Normal,Combined Method,Regular Stock Check,Shop Floor,P0034,None
REC0035,2023-02-11,610,583,False,Undercount,27,4.426229508196721,597.0,5,8,Intermediate,Warehouse Team,Miscellaneous,Baby Care,Box,Shop Floor - Zone C,Morning,Sunday,False,High,New Model,False,Normal,Normal,Manual Count,Quarterly Stock-take,Shop Floor,P0035,None
REC0036,2023-09-28,7,6,False,Undercount,1,14.285714285714285,10.0,16,7,Intermediate,Pharmacy Staff,Medical Device,Surgical,Individual,Shop Floor - Zone A,Afternoon,Tuesday,True,High,Current Model,False,Normal,Weak,Combined Method,Regular Stock Check,Shop Floor,P0036,None
REC0037,2023-08-31,13,13,True,None,0,0.0,10.0,19,6,Intermediate,Warehouse Team,Medical Device,Therapeutic,Individual,Warehouse - Main Building 3rd Floor,Morning,Friday,True,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Warehouse,P0037,None
REC0038,2023-10-30,570,570,True,None,0,0.0,241.0,16,7,Intermediate,Pharmacy Staff,Drug,OTC,Blister Pack,Storage Room - Drugs,Evening,Tuesday,True,High,Current Model,True,Normal,Strong,Scanner Count,Regular Stock Check,Storage,P0038,None
REC0039,2023-10-25,3,3,True,None,0,0.0,10.0,6,10,Advanced,Pharmacy Staff,Medical Device,Surgical,Individual,Shop Floor - Zone A,Afternoon,Friday,True,High,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0039,None
REC0040,2023-01-19,36,36,True,None,0,0.0,35.0,12,4,Intermediate,Warehouse Team,Medical Device,Surgical,Individual,Shop Floor - Zone C,Afternoon,Saturday,False,High,Current Model,True,Maintenance Mode,Normal,Combined Method,Regular Stock Check,Shop Floor,P0040,None
REC0041,2023-12-09,45,51,False,Overcount,6,13.333333333333334,21.0,11,15,Advanced,Pharmacy Staff,Miscellaneous,First Aid,Individual,Shop Floor - Zone A,Evening,Monday,False,High,Old Model,True,Normal,Normal,Manual Count,Regular Stock Check,Shop Floor,P0041,None
REC0042,2023-09-04,8,8,True,None,0,0.0,10.0,14,5,Basic,Pharmacy Staff,Medical Device,Therapeutic,Individual,Shop Floor - Zone C,Evening,Friday,False,High,Current Model,True,Slow,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0042,None
REC0043,2023-04-12,18139,18139,True,None,0,0.0,24110.0,17,2,Basic,Pharmacy Staff,Drug,Prescription,Bottle,Storage Room - Drugs,Evening,Tuesday,False,High,New Model,True,Normal,Normal,Manual Count,Regular Stock Check,Storage,P0043,None
REC0044,2023-06-04,5123,4989,False,Undercount,134,2.6156548897130585,2155.0,5,8,Intermediate,Warehouse Team,Drug,Controlled,Bottle,Warehouse - Shop Building Ground Floor,Afternoon,Monday,False,High,Current Model,False,Normal,Normal,Scanner Count,Quarterly Stock-take,Warehouse,P0044,None
REC0045,2023-08-24,37,37,True,None,0,0.0,19.0,4,10,Basic,Warehouse Team,Medical Device,Monitoring,Individual,Warehouse - Main Building 3rd Floor,Evening,Friday,False,High,Current Model,False,Normal,Strong,Scanner Count,Regular Stock Check,Warehouse,P0045,None
REC0046,2023-12-10,18,17,False,Undercount,1,5.555555555555555,17.0,7,4,Intermediate,Pharmacy Staff,Miscellaneous,Supplements,Tube,Warehouse - Shop Building Ground Floor,Morning,Sunday,False,High,Current Model,True,Normal,Normal,Manual Count,Regular Stock Check,Warehouse,P0046,None
REC0047,2023-06-02,84,84,True,None,0,0.0,124.0,15,3,Intermediate,Pharmacy Staff,Drug,Controlled,Tube,Warehouse - Shop Building Ground Floor,Afternoon,Tuesday,False,Low,Current Model,True,Maintenance Mode,Weak,Manual Count,Quarterly Stock-take,Warehouse,P0047,None
REC0048,2023-08-28,7020,7020,True,None,0,0.0,4527.0,2,4,Intermediate,Pharmacy Staff,Drug,Controlled,Box,Shop Floor - Zone A,Morning,Thursday,True,High,Current Model,True,Normal,Strong,Scanner Count,Quarterly Stock-take,Shop Floor,P0048,None
REC0049,2023-05-25,62,62,True,None,0,0.0,14.0,11,15,Advanced,Pharmacy Staff,Miscellaneous,Hygiene,Tube,Storage Room - Drugs,Morning,Sunday,True,Medium,Current Model,True,Normal,Weak,Scanner Count,Regular Stock Check,Storage,P0049,None
REC0050,2023-10-29,13,13,True,None,0,0.0,10.0,5,8,Intermediate,Warehouse Team,Medical Device,Surgical,Individual,Shop Floor - Zone A,Afternoon,Sunday,True,Medium,Old Model,True,Slow,Weak,Scanner Count,Regular Stock Check,Shop Floor,P0050,None
REC0051,2023-10-13,5340,5340,True,None,0,0.0,2474.0,7,4,Intermediate,Pharmacy Staff,Drug,OTC,Bottle,Storage Room - Drugs,Morning,Wednesday,False,High,Old Model,True,Normal,Strong,Scanner Count,Regular Stock Check,Storage,P0051,None
REC0052,2023-11-20,72,77,False,Overcount,5,6.944444444444445,50.0,15,3,Intermediate,Pharmacy Staff,Medical Device,Diagnostic,Box,Shop Floor - Zone B,Evening,Friday,False,High,Current Model,True,Normal,Strong,Scanner Count,Quarterly Stock-take,Shop Floor,P0052,None
REC0053,2023-03-08,1428,1428,True,None,0,0.0,1611.0,4,10,Basic,Warehouse Team,Drug,Controlled,Box,Storage Room - Drugs,Afternoon,Tuesday,False,High,Old Model,False,Normal,Normal,Manual Count,Quarterly Stock-take,Storage,P0053,None
REC0054,2023-07-28,2814,2814,True,None,0,0.0,1177.0,19,6,Intermediate,Warehouse Team,Miscellaneous,First Aid,Bottle,Shop Floor - Zone A,Afternoon,Friday,True,High,Old Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0054,None
REC0055,2023-04-05,546,494,False,Undercount,52,9.523809523809524,595.0,17,2,Basic,Pharmacy Staff,Miscellaneous,First Aid,Box,Shop Floor - Zone B,Morning,Monday,False,High,Current Model,True,Normal,Normal,Combined Method,Regular Stock Check,Shop Floor,P0055,None
REC0056,2023-08-21,10578,10578,True,None,0,0.0,13028.0,17,2,Basic,Pharmacy Staff,Drug,OTC,Bottle,Shop Floor - Zone C,Morning,Monday,False,Medium,Current Model,True,Normal,Normal,Manual Count,Quarterly Stock-take,Shop Floor,P0056,None
REC0057,2023-02-05,60,60,True,None,0,0.0,64.0,15,3,Intermediate,Pharmacy Staff,Miscellaneous,Baby Care,Tube,Shop Floor - Zone B,Afternoon,Wednesday,False,High,Current Model,True,Normal,Normal,Manual Count,Regular Stock Check,Shop Floor,P0057,None
REC0058,2023-06-28,516,516,True,None,0,0.0,393.0,7,4,Intermediate,Pharmacy Staff,Drug,Refrigerated,Box,Storage Room - Drugs,Morning,Wednesday,True,High,Current Model,True,Maintenance Mode,Weak,Scanner Count,Regular Stock Check,Storage,P0058,None
REC0059,2023-10-30,128,128,True,None,0,0.0,78.0,3,3,Intermediate,Warehouse Team,Drug,Refrigerated,Tube,Shop Floor - Zone B,Afternoon,Monday,True,High,Old Model,True,Slow,Normal,Scanner Count,Ad-hoc Check,Shop Floor,P0059,None
REC0060,2023-09-16,30,30,True,None,0,0.0,24.0,7,4,Intermediate,Pharmacy Staff,Medical Device,Surgical,Individual,Shop Floor - Zone C,Afternoon,Wednesday,False,Low,Current Model,False,Maintenance Mode,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0060,None
REC0061,2023-06-30,31,34,False,Overcount,3,9.67741935483871,28.0,17,2,Basic,Pharmacy Staff,Medical Device,Diagnostic,Individual,Shop Floor - Zone A,Evening,Wednesday,True,Medium,Current Model,False,Normal,Normal,Combined Method,Regular Stock Check,Shop Floor,P0061,None
REC0062,2023-06-12,4544,4544,True,None,0,0.0,1809.0,9,7,Intermediate,Warehouse Team,Drug,Controlled,Bottle,Shop Floor - Zone A,Afternoon,Monday,False,Medium,New Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0062,None
REC0063,2023-12-24,615,615,True,None,0,0.0,561.4350296434835,205,1,Basic,Pharmacy Staff,Drug,OTC,Blister Pack,Storage Room - Drugs,Evening,Wednesday,False,High,Current Model,False,Normal,Weak,Manual Count,Regular Stock Check,Storage,SP002,Similar Packaging Confusion
REC0064,2023-09-17,560,560,True,None,0,0.0,484.0,1,4,Basic,Pharmacy Staff,Medical Device,Therapeutic,Box,Shop Floor - Zone A,Afternoon,Tuesday,False,Medium,Old Model,False,Normal,Weak,Scanner Count,Quarterly Stock-take,Shop Floor,P0064,None
REC0065,2023-03-19,8,8,True,None,0,0.0,10.0,12,4,Intermediate,Warehouse Team,Medical Device,Monitoring,Individual,Shop Floor - Zone A,Evening,Tuesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor,P0065,None
REC0066,2023-05-19,1463,1463,True,None,0,0.0,616.0,4,10,Basic,Warehouse Team,Drug,Controlled,Blister Pack,Shop Floor - Zone B,Morning,Monday,False,Medium,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0066,None
REC0067,2023-01-28,6324,6324,True,None,0,0.0,2872.0,15,3,Intermediate,Pharmacy Staff,Drug,Prescription,Bottle,Storage Room - Drugs,Evening,Friday,True,High,New Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Storage,P0067,None
REC0068,2023-01-24,1696,1696,True,None,0,0.0,636.0,5,8,Intermediate,Warehouse Team,Miscellaneous,First Aid,Bottle,Warehouse - Shop Building Ground Floor,Afternoon,Friday,False,High,Current Model,True,Normal,Strong,Scanner Count,Regular Stock Check,Warehouse,P0068,None
REC0069,2023-04-22,420,420,True,None,0,0.0,238.0,12,4,Intermediate,Warehouse Team,Drug,Prescription,Blister Pack,Shop Floor - Zone B,Afternoon,Thursday,False,High,Old Model,True,Slow,Strong,Scanner Count,Quarterly Stock-take,Shop Floor,P0069,None
REC0070,2023-03-07,56,56,True,None,0,0.0,33.0,16,7,Intermediate,Pharmacy Staff,Medical Device,Therapeutic,Box,Shop Floor - Zone B,Evening,Friday,False,High,New Model,True,Normal,Strong,Scanner Count,Ad-hoc Check,Shop Floor,P0070,None
REC0071,2023-01-12,1482,1482,True,None,0,0.0,757.0,13,3,Basic,Pharmacy Staff,Drug,Controlled,Bottle,Storage Room - Drugs,Evening,Tuesday,False,High,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Storage,P0071,None
REC0072,2023-05-04,3036,3036,True,None,0,0.0,4014.0,13,3,Basic,Pharmacy Staff,Drug,Prescription,Box,Warehouse - Shop Building Ground Floor,Morning,Wednesday,False,High,Current Model,True,Slow,Normal,Combined Method,Regular Stock Check,Warehouse,P0072,None
REC0073,2023-01-25,640,640,True,None,0,0.0,282.0,9,7,Intermediate,Warehouse Team,Drug,Prescription,Blister Pack,Shop Floor - Zone C,Morning,Friday,True,High,Current Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0073,None
REC0074,2023-10-16,720,720,True,None,0,0.0,517.0,13,3,Basic,Pharmacy Staff,Miscellaneous,Hygiene,Box,Shop Floor - Zone A,Morning,Sunday,False,High,Current Model,True,Normal,Normal,Scanner Count,Ad-hoc Check,Shop Floor,P0074,None
REC0075,2023-11-06,324,272,False,Undercount,52,16.049382716049383,149.0,2,4,Intermediate,Pharmacy Staff,Drug,Refrigerated,Blister Pack,Shop Floor - Zone C,Afternoon,Sunday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0075,None
REC0076,2023-05-24,4230,4230,True,None,0,0.0,890.0,20,15,Advanced,Team Leader,Miscellaneous,First Aid,Bottle,Shop Floor - Zone A,Afternoon,Monday,False,High,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0076,None
REC0077,2023-10-13,2345,2345,True,None,0,0.0,850.0,9,7,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Shop Floor - Zone A,Morning,Monday,False,High,Old Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,SP005,Similar Packaging Confusion
REC0078,2023-01-28,432,435,False,Overcount,3,0.6944444444444444,327.0,1,4,Basic,Pharmacy Staff,Drug,OTC,Bottle,Shop Floor - Zone B,Morning,Monday,True,High,Current Model,False,Normal,Strong,Combined Method,Regular Stock Check,Shop Floor,P0078,None
REC0079,2023-10-28,3380,3380,True,None,0,0.0,5246.0,1,4,Basic,Pharmacy Staff,Drug,Refrigerated,Box,Shop Floor - Zone A,Afternoon,Wednesday,True,High,Current Model,False,Normal,Weak,Manual Count,Regular Stock Check,Shop Floor,P0079,None
REC0080,2023-09-25,116,116,True,None,0,0.0,44.0,10,6,Advanced,Warehouse Team,Medical Device,Monitoring,Blister Pack,Shop Floor - Zone B,Morning,Saturday,True,High,Current Model,True,Normal,Strong,Scanner Count,Regular Stock Check,Shop Floor,P0080,None
REC0081,2023-11-08,4326,4340,False,Overcount,14,0.3236245954692557,1817.0,2,4,Intermediate,Pharmacy Staff,Drug,OTC,Bottle,Shop Floor - Zone A,Morning,Monday,False,Medium,Current Model,False,Normal,Strong,Scanner Count,Regular Stock Check,Shop Floor,P0081,None
REC0082,2023-10-22,352,352,True,None,0,0.0,212.0,12,4,Intermediate,Warehouse Team,Medical Device,Therapeutic,Blister Pack,Shop Floor - Zone C,Afternoon,Thursday,False,Medium,Current Model,False,Maintenance Mode,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0082,None
REC0083,2023-07-20,4,4,True,None,0,0.0,10.0,19,6,Intermediate,Warehouse Team,Medical Device,Diagnostic,Individual,Storage Room - Medical Devices,Evening,Monday,False,Medium,Current Model,True,Normal,Strong,Scanner Count,Regular Stock Check,Storage,P0083,None
REC0084,2023-08-07,880,880,True,None,0,0.0,324.0,5,8,Intermediate,Warehouse Team,Drug,Prescription,Blister Pack,Shop Floor - Zone B,Afternoon,Tuesday,False,High,Current Model,True,Normal,Weak,Scanner Count,Ad-hoc Check,Shop Floor,P0084,None
REC0085,2023-11-20,300,300,True,None,0,0.0,118.0,4,10,Basic,Warehouse Team,Drug,Refrigerated,Blister Pack,Shop Floor - Zone C,Evening,Thursday,False,High,Old Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0085,None
REC0086,2023-03-24,1232,1232,True,None,0,0.0,1239.0,3,3,Intermediate,Warehouse Team,Drug,Prescription,Blister Pack,Warehouse - Shop Building Ground Floor,Afternoon,Tuesday,False,High,Current Model,False,Normal,Normal,Manual Count,Regular Stock Check,Warehouse,P0086,None
REC0087,2023-12-17,15072,15072,True,None,0,0.0,11945.941164883927,15,3,Intermediate,Pharmacy Staff,Drug,Refrigerated,Bottle,Storage Room - Drugs,Evening,Wednesday,False,Medium,Current Model,False,Normal,Normal,Manual Count,Regular Stock Check,Storage,P0087,Holiday Rush
REC0088,2023-12-08,41,41,True,None,0,0.0,45.0,2,4,Intermediate,Pharmacy Staff,Medical Device,Diagnostic,Individual,Shop Floor - Zone A,Morning,Friday,False,High,Old Model,False,Normal,Normal,Manual Count,Regular Stock Check,Shop Floor,P0088,None
REC0089,2023-07-12,517,517,True,None,0,0.0,334.0,3,3,Intermediate,Warehouse Team,Miscellaneous,Hygiene,Box,Shop Floor - Zone B,Afternoon,Tuesday,False,Medium,Current Model,True,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0089,None
REC0090,2023-12-14,88,88,True,None,0,0.0,49.0,19,6,Intermediate,Warehouse Team,Drug,OTC,Blister Pack,Shop Floor - Zone B,Morning,Sunday,False,Low,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0090,None
REC0091,2023-07-28,1379,1379,True,None,0,0.0,693.0,20,15,Advanced,Team Leader,Drug,OTC,Blister Pack,Shop Floor - Zone A,Evening,Wednesday,True,High,Current Model,False,Slow,Normal,Manual Count,Quarterly Stock-take,Shop Floor,P0091,None
REC0092,2023-02-01,29,29,True,None,0,0.0,15.0,19,6,Intermediate,Warehouse Team,Medical Device,Monitoring,Individual,Shop Floor - Zone A,Morning,Friday,False,Medium,Current Model,False,Normal,Normal,Scanner Count,Regular Stock Check,Shop Floor,P0092,None
REC0093,2023-09-17,120,124,False,Overcount,4,3.3333333333333335,121.0,12,4,Intermediate,Warehouse Team,Drug,Refrigerated,Blister Pack,Storage Room - Drugs,Afternoon,Thursday,False,High,Current Model,False,Normal,Strong,Manual Count,Regular Stock Check,Storage,P0093,None
REC0094,2023-10-10,616,616,True,None,0,0.0,223.0,11,15,Advanced,Pharmacy Staff,Miscellaneous,First Aid,Bottle,Warehouse - Shop Building Ground Floor,Morning,Wednesday,False,Low,Current Model,False,Normal,Normal,Combined Method,Regular Stock Check,Warehouse,P0094,None
REC0095,2023-11-07,2793,2546,False,Undercount,247,8.843537414965986,1947.0,8,3,Intermediate,Pharmacy Staff,Drug,Prescription,Box,Shop Floor - Zone A,Morning,Tuesday,False,Low,Old Model,True,Normal,Normal,Scanner Count,Quarterly Stock-take,Shop Floor,P0095,None
REC0096,2023-12-31,180,180,True,None,0,0.0,102.0,16,7,Intermediate,Pharmacy Staff,Medical Device,Diagnostic,Blister Pack,Warehouse - Main Building 3rd Floor,Evening,Sunday,True,Medium,Current Model,False,Slow,Normal,Scanner Count,Quarterly Stock-take,Warehouse,P0096,None
REC0097,2023-02-26,154,154,True,None,0,0.0,65.0,11,15,Advanced,Pharmacy Staff,Medical Device,Therapeutic,Blister Pack,Shop Floor - Zone A,Morning,Sunday,True,Low,Current Model,True,Normal,Normal,Combined Method,Regular Stock Check,Shop Floor,P0097,None
